organization_name,agency_id,route_id,trip_id,is_producer,is_operator,is_authority,attribution_id,attribution_url,attribution_email,attribution_phone
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
511 SF Bay,,,,1,,,,https://511.org/open-data,transitdata@511.org,
